,precision,recall,f1-score,support
pull_ups,0.8737864077669902,0.8910891089108911,0.8823529411764706,101.0
push_ups,0.9560439560439561,0.8130841121495327,0.8787878787878788,107.0
bench_press,0.8695652173913043,0.8450704225352113,0.8571428571428571,71.0
jumping_jacks,0.85,0.9107142857142857,0.8793103448275862,56.0
sit_ups,0.5972222222222222,0.86,0.7049180327868853,50.0
jump_rope,0.7916666666666666,0.9047619047619048,0.8444444444444444,42.0
squats,0.9207920792079208,0.7948717948717948,0.8532110091743119,117.0
accuracy,0.8492647058823529,0.8492647058823529,0.8492647058823529,0.8492647058823529
macro avg,0.8370109356141515,0.8599416612776601,0.8428810726200621,544.0
weighted avg,0.8653162597323342,0.8492647058823529,0.8525454570515065,544.0
